time,period
1.011306828e-05,3.955575e-09
1.0117016e-05,3.947728e-09
1.012094392e-05,3.927918e-09
1.012487671e-05,3.932786e-09
1.012873282e-05,3.856111e-09
1.013264536e-05,3.912536e-09
1.013659529e-05,3.949931e-09
1.014057607e-05,3.980781e-09
1.014465983e-05,4.083764e-09
1.014870145e-05,4.041615e-09
1.0152664e-05,3.962557e-09
1.015656369e-05,3.899689e-09
1.016044245e-05,3.878756e-09
1.016428106e-05,3.838611e-09
1.016821261e-05,3.931544e-09
1.017218834e-05,3.975739e-09
1.0176188e-05,3.999652e-09
1.018017861e-05,3.990613e-09
1.018412586e-05,3.947256e-09
1.01880485e-05,3.922631e-09
1.019191447e-05,3.86597e-09
1.019582957e-05,3.915103e-09
1.019971116e-05,3.881592e-09
1.020367419e-05,3.963028e-09
1.02076344e-05,3.960212e-09
1.021161266e-05,3.978259e-09
1.021557575e-05,3.963087e-09
1.021947319e-05,3.897442e-09
1.022334448e-05,3.871291e-09
1.02272157e-05,3.871215e-09
1.023114764e-05,3.931944e-09
1.023505097e-05,3.903324e-09
1.023902996e-05,3.978996e-09
1.024293736e-05,3.907402e-09
1.024689913e-05,3.961769e-09
1.025079304e-05,3.893906e-09
1.025468614e-05,3.893098e-09
1.025858736e-05,3.901223e-09
1.026248843e-05,3.901071e-09
1.026651696e-05,4.028526e-09
1.027053368e-05,4.016725e-09
1.027453717e-05,4.003493e-09
1.027845926e-05,3.922089e-09
1.028237689e-05,3.917631e-09
1.028626246e-05,3.885561e-09
1.029019304e-05,3.930586e-09
1.029407907e-05,3.886024e-09
1.029804819e-05,3.969126e-09
1.030202281e-05,3.974621e-09
1.030601208e-05,3.989268e-09
1.030995437e-05,3.942289e-09
1.031386353e-05,3.909162e-09
1.03177541e-05,3.890566e-09
1.032168926e-05,3.935167e-09
1.032555924e-05,3.869979e-09
1.032950334e-05,3.944097e-09
1.033350918e-05,4.005842e-09
1.033745736e-05,3.948182e-09
1.034136504e-05,3.907672e-09
1.034529922e-05,3.934183e-09
1.034919116e-05,3.891938e-09
1.035311339e-05,3.922232e-09
1.035698141e-05,3.868022e-09
1.036091776e-05,3.936345e-09
1.03648497e-05,3.931947e-09
1.036878548e-05,3.935772e-09
1.037272145e-05,3.935976e-09
1.037667117e-05,3.949715e-09
1.038057003e-05,3.898864e-09
1.038444859e-05,3.878556e-09
1.038840408e-05,3.955494e-09
1.039234459e-05,3.940504e-09
1.039629937e-05,3.954789e-09
1.04003009e-05,4.001528e-09
1.040420486e-05,3.903957e-09
1.040815614e-05,3.951282e-09
1.041203743e-05,3.881292e-09
1.041596335e-05,3.925913e-09
1.041989151e-05,3.928166e-09
1.042379873e-05,3.907216e-09
1.042776115e-05,3.962421e-09
1.043170029e-05,3.939139e-09
1.043563557e-05,3.935279e-09
1.043956836e-05,3.93279e-09
1.044348738e-05,3.919027e-09
1.044736335e-05,3.875971e-09
1.045128976e-05,3.926409e-09
1.045520689e-05,3.917125e-09
1.045915221e-05,3.945323e-09
1.046309746e-05,3.945251e-09
1.046702045e-05,3.922987e-09
1.047096989e-05,3.949436e-09
1.047485063e-05,3.880741e-09
1.047877462e-05,3.92399e-09
1.048268336e-05,3.908745e-09
1.048663997e-05,3.956612e-09
1.049053765e-05,3.897676e-09
1.049447518e-05,3.937526e-09
1.049844474e-05,3.969568e-09
1.050233404e-05,3.889299e-09
1.050622946e-05,3.895419e-09
1.051017459e-05,3.945133e-09
1.051406075e-05,3.886157e-09
1.051801067e-05,3.949922e-09
1.052195906e-05,3.948388e-09
1.052590367e-05,3.944607e-09
1.052984052e-05,3.936854e-09
1.053379968e-05,3.959154e-09
1.053768018e-05,3.880508e-09
1.054160369e-05,3.923502e-09
1.05454991e-05,3.895413e-09
1.054942997e-05,3.930872e-09
1.055337316e-05,3.943187e-09
1.055735491e-05,3.981754e-09
1.056129715e-05,3.942233e-09
1.05652142e-05,3.917056e-09
1.05691039e-05,3.889703e-09
1.057299681e-05,3.892905e-09
1.057693017e-05,3.933366e-09
1.058087696e-05,3.946787e-09
1.058477253e-05,3.895572e-09
1.058874368e-05,3.97115e-09
1.059266677e-05,3.923088e-09
1.059657797e-05,3.911198e-09
1.060047366e-05,3.89569e-09
1.060441272e-05,3.939063e-09
1.060834253e-05,3.929807e-09
1.061226118e-05,3.91865e-09
1.061615281e-05,3.891632e-09
1.062012536e-05,3.972554e-09
1.062402369e-05,3.898324e-09
1.06279444e-05,3.920711e-09
1.063185232e-05,3.90792e-09
1.063579395e-05,3.941628e-09
1.06396711e-05,3.877156e-09
1.064362582e-05,3.954721e-09
1.064751824e-05,3.892415e-09
1.065149263e-05,3.974388e-09
1.065540041e-05,3.907781e-09
1.065936725e-05,3.966846e-09
1.066327446e-05,3.907203e-09
1.066717805e-05,3.903599e-09
1.067108901e-05,3.910957e-09
1.067498457e-05,3.895555e-09
1.067893706e-05,3.952495e-09
1.068286618e-05,3.929121e-09
1.068677043e-05,3.904245e-09
1.069072944e-05,3.959008e-09
1.06946412e-05,3.911764e-09
1.069852353e-05,3.882329e-09
1.07024347e-05,3.911173e-09
1.070633932e-05,3.904614e-09
1.07102979e-05,3.95858e-09
1.071422357e-05,3.925673e-09
1.071811369e-05,3.890119e-09
1.072204218e-05,3.928491e-09
1.072600331e-05,3.961129e-09
1.072991442e-05,3.911111e-09
1.07337923e-05,3.877883e-09
1.073775638e-05,3.964074e-09
1.074165689e-05,3.900514e-09
1.074557225e-05,3.915361e-09
1.074949505e-05,3.922798e-09
1.075341265e-05,3.917605e-09
1.07573293e-05,3.916641e-09
1.076127873e-05,3.949429e-09
1.076515763e-05,3.878902e-09
1.076908325e-05,3.925619e-09
1.077301017e-05,3.926925e-09
1.077693545e-05,3.925284e-09
1.078087341e-05,3.937959e-09
1.078480381e-05,3.930395e-09
1.078871871e-05,3.9149e-09
1.079260822e-05,3.889514e-09
1.079653617e-05,3.927946e-09
1.08004509e-05,3.914732e-09
1.080436e-05,3.909104e-09
1.080828313e-05,3.923126e-09
1.081221417e-05,3.931038e-09
1.081610783e-05,3.893658e-09
1.082003219e-05,3.924361e-09
1.082398533e-05,3.953142e-09
1.082786783e-05,3.882498e-09
1.083182134e-05,3.953517e-09
1.083573963e-05,3.918281e-09
1.083961723e-05,3.877599e-09
1.08435564e-05,3.93917e-09
1.084750273e-05,3.946338e-09
1.085138148e-05,3.878743e-09
1.085532973e-05,3.948256e-09
1.085923064e-05,3.900904e-09
1.086312536e-05,3.894726e-09
1.086703079e-05,3.905432e-09
1.08709895e-05,3.958703e-09
1.087488386e-05,3.894357e-09
1.087880275e-05,3.918899e-09
1.088272668e-05,3.923927e-09
1.08866416e-05,3.914918e-09
1.08905665e-05,3.924899e-09
1.089446504e-05,3.89854e-09
1.089837597e-05,3.910931e-09
1.09022972e-05,3.921228e-09
1.09061967e-05,3.899505e-09
1.091013902e-05,3.942321e-09
1.091405849e-05,3.919463e-09
1.091798256e-05,3.924076e-09
1.092188151e-05,3.898943e-09
1.092580807e-05,3.926565e-09
1.092968831e-05,3.880242e-09
1.093363527e-05,3.946955e-09
1.093756214e-05,3.926868e-09
1.094146566e-05,3.903526e-09
1.094538682e-05,3.921161e-09
1.094930089e-05,3.914064e-09
1.095324794e-05,3.947056e-09
1.095712973e-05,3.881786e-09
1.096105968e-05,3.929952e-09
1.09649743e-05,3.91462e-09
1.096887105e-05,3.896746e-09
1.097281521e-05,3.944168e-09
1.097675595e-05,3.940739e-09
1.09806478e-05,3.891847e-09
1.098458312e-05,3.935315e-09
1.098845841e-05,3.875294e-09
1.099237745e-05,3.919039e-09
1.099631722e-05,3.939772e-09
1.100021992e-05,3.902701e-09
1.100413101e-05,3.91109e-09
1.100808848e-05,3.957463e-09
1.101196685e-05,3.878376e-09
1.101587973e-05,3.912879e-09
1.101975493e-05,3.875202e-09
1.102363919e-05,3.88426e-09
1.102754827e-05,3.909074e-09
1.103147792e-05,3.929658e-09
1.103539066e-05,3.912731e-09
1.103931502e-05,3.924366e-09
1.104322956e-05,3.914535e-09
1.104715574e-05,3.926181e-09
1.10510343e-05,3.878565e-09
1.105490189e-05,3.867585e-09
1.105884272e-05,3.940828e-09
1.106276844e-05,3.925727e-09
1.106667498e-05,3.906536e-09
1.107060584e-05,3.930864e-09
1.107454893e-05,3.943092e-09
1.107844518e-05,3.896245e-09
1.108234373e-05,3.898551e-09
1.10862096e-05,3.86587e-09
1.109015838e-05,3.948778e-09
1.10940462e-05,3.887817e-09
1.109801819e-05,3.971998e-09
1.110190184e-05,3.88365e-09
1.110582818e-05,3.926332e-09
1.110975987e-05,3.931693e-09
1.111363018e-05,3.870315e-09
1.111757775e-05,3.947563e-09
1.112148996e-05,3.912209e-09
1.112540771e-05,3.917753e-09
1.112933804e-05,3.930329e-09
1.113327613e-05,3.938095e-09
1.113718964e-05,3.913504e-09
1.114106834e-05,3.878702e-09
1.11449351e-05,3.866766e-09
1.114883616e-05,3.901059e-09
1.115273631e-05,3.900149e-09
1.115664086e-05,3.904545e-09
1.116059151e-05,3.950658e-09
1.116451724e-05,3.925726e-09
1.116843634e-05,3.919102e-09
1.117233189e-05,3.895551e-09
1.117623969e-05,3.907799e-09
1.118010661e-05,3.866916e-09
1.118404755e-05,3.940942e-09
1.118796319e-05,3.915636e-09
1.119192292e-05,3.95973e-09
1.119580861e-05,3.885695e-09
1.119975735e-05,3.948736e-09
1.120362273e-05,3.865384e-09
1.120751879e-05,3.896061e-09
1.121141499e-05,3.896196e-09
1.121535796e-05,3.942967e-09
1.12192806e-05,3.922642e-09
1.122318418e-05,3.903581e-09
1.12271519e-05,3.967721e-09
1.123103287e-05,3.880972e-09
1.123497252e-05,3.939645e-09
1.123887208e-05,3.899564e-09
1.124274276e-05,3.870673e-09
1.12466563e-05,3.913542e-09
1.125057121e-05,3.914907e-09
1.125449443e-05,3.923227e-09
1.125846962e-05,3.975187e-09
1.126236808e-05,3.898464e-09
1.126620838e-05,3.840292e-09
1.127009931e-05,3.890938e-09
1.127395127e-05,3.85196e-09
1.127787845e-05,3.927178e-09
1.128181637e-05,3.937918e-09
1.128572318e-05,3.906808e-09
1.128968373e-05,3.960557e-09
1.129359538e-05,3.911641e-09
1.129748747e-05,3.892094e-09
1.130133234e-05,3.844866e-09
1.130522846e-05,3.896128e-09
1.13091445e-05,3.916035e-09
1.131305345e-05,3.908947e-09
1.131698207e-05,3.928624e-09
1.132094974e-05,3.96767e-09
1.132483611e-05,3.886365e-09
1.132872193e-05,3.88582e-09
1.13326429e-05,3.920972e-09
1.133650392e-05,3.86102e-09
1.134043644e-05,3.932523e-09
1.13443304e-05,3.893958e-09
1.134826751e-05,3.937116e-09
1.135218443e-05,3.916914e-09
1.135610922e-05,3.924792e-09
1.136005426e-05,3.945038e-09
1.136392043e-05,3.866176e-09
1.136785929e-05,3.938852e-09
1.137174539e-05,3.886101e-09
1.13756486e-05,3.903213e-09
1.137958843e-05,3.939826e-09
1.138352846e-05,3.94003e-09
1.138742832e-05,3.89986e-09
1.139129219e-05,3.863875e-09
1.13951524e-05,3.860206e-09
1.139903403e-05,3.881634e-09
1.140293313e-05,3.899099e-09
1.140683243e-05,3.899302e-09
1.14107736e-05,3.941171e-09
1.141470853e-05,3.934924e-09
1.141864587e-05,3.937341e-09
1.142253772e-05,3.891847e-09
1.142640216e-05,3.864444e-09
1.143026823e-05,3.866065e-09
1.143420521e-05,3.936981e-09
1.143810229e-05,3.897082e-09
1.144203126e-05,3.928975e-09
1.144594932e-05,3.918053e-09
1.14498686e-05,3.919284e-09
1.145378898e-05,3.920375e-09
1.145768477e-05,3.89579e-09
1.146158426e-05,3.899492e-09
1.146547639e-05,3.892134e-09
1.14693574e-05,3.881009e-09
1.147332518e-05,3.967783e-09
1.147720747e-05,3.882289e-09
1.148112342e-05,3.915944e-09
1.148503655e-05,3.913131e-09
1.148895264e-05,3.91609e-09
1.149284866e-05,3.896024e-09
1.149672015e-05,3.871485e-09
1.150063961e-05,3.919459e-09
1.150456082e-05,3.921218e-09
1.150852964e-05,3.968811e-09
1.151242196e-05,3.892329e-09
1.151629765e-05,3.875681e-09
1.152013315e-05,3.8355e-09
1.152402806e-05,3.894914e-09
1.152791111e-05,3.883052e-09
1.153182045e-05,3.909342e-09
