AIM-Spice Version 2016.100  (Built on Nov  5 2016)
Simulation started on Fri Apr  5 15:01:01 2024
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vgate,i(vcur)
6.20000000000000e-01,3.94959065650084e-05
6.30000000000000e-01,4.21703493792548e-05
6.40000000000000e-01,4.49135749346612e-05
6.50000000000000e-01,4.77229874490080e-05
6.60000000000000e-01,5.05961071197231e-05
6.70000000000000e-01,5.35305685738444e-05
6.80000000000000e-01,5.65241175344222e-05
6.90000000000000e-01,5.95746062606992e-05
7.00000000000000e-01,6.26799882054770e-05
7.10000000000000e-01,6.58383122349480e-05
7.20000000000000e-01,6.90477166737222e-05
7.30000000000000e-01,7.23064233697020e-05
7.40000000000000e-01,7.56127319183816e-05
7.50000000000000e-01,7.89650141423272e-05
7.60000000000000e-01,8.23617088873554e-05
7.70000000000000e-01,8.58013171706546e-05
7.80000000000000e-01,8.92823976963488e-05
7.90000000000000e-01,9.28035627395103e-05
8.00000000000000e-01,9.63634743893135e-05
8.10000000000000e-01,9.99608411349812e-05
8.20000000000001e-01,1.03594414773652e-04
8.30000000000001e-01,1.07262987616687e-04
8.40000000000001e-01,1.10965389969768e-04
8.50000000000001e-01,1.14700487861969e-04
8.60000000000001e-01,1.18467180999628e-04
8.70000000000001e-01,1.22264400921866e-04
8.80000000000001e-01,1.26091109336097e-04
8.90000000000001e-01,1.29946296613397e-04
9.00000000000001e-01,1.33828980425337e-04
9.10000000000001e-01,1.37738204505536e-04
9.20000000000001e-01,1.41673037520881e-04
9.30000000000001e-01,1.45632572038905e-04
9.40000000000001e-01,1.49615923579317e-04
9.50000000000001e-01,1.53622229739050e-04
9.60000000000001e-01,1.57650649381426e-04
9.70000000000001e-01,1.61700361881203e-04
9.80000000000001e-01,1.65770566418281e-04
9.90000000000001e-01,1.69860481313746e-04
1.00000000000000e+00,1.73969343402780e-04
1.01000000000000e+00,1.78096407439639e-04
1.02000000000000e+00,1.82240945530562e-04
1.03000000000000e+00,1.86402246591016e-04
1.04000000000000e+00,1.90579615824157e-04
1.05000000000000e+00,1.94772374217801e-04
1.06000000000000e+00,1.98979858057565e-04
1.07000000000000e+00,2.03201418454141e-04
1.08000000000000e+00,2.07436420882914e-04
1.09000000000000e+00,2.11684244734384e-04
1.10000000000000e+00,2.15944282873999e-04
1.11000000000000e+00,2.20215941210218e-04
1.12000000000000e+00,2.24498638269681e-04
1.13000000000000e+00,2.28791804778540e-04
1.14000000000000e+00,2.33094883249037e-04
1.15000000000000e+00,2.37407327570524e-04
1.16000000000000e+00,2.41728602604131e-04
1.17000000000000e+00,2.46058183780365e-04
1.18000000000000e+00,2.50395556698945e-04
1.19000000000000e+00,2.54740216730162e-04
1.20000000000000e+00,2.59091668617116e-04
1.21000000000000e+00,2.63449426078142e-04
1.22000000000000e+00,2.67813011408749e-04
1.23000000000000e+00,2.72181955082393e-04
1.24000000000000e+00,2.76555795349373e-04
1.25000000000000e+00,2.80934077833143e-04
1.26000000000000e+00,2.85316355123282e-04
1.27000000000000e+00,2.89702186364374e-04
1.28000000000000e+00,2.94091136839988e-04
1.29000000000000e+00,2.98482777550958e-04
1.30000000000000e+00,3.02876684787095e-04
1.31000000000000e+00,3.07272439691471e-04
1.32000000000000e+00,3.11669627816359e-04
1.33000000000000e+00,3.16067838669909e-04
1.34000000000000e+00,3.20466665252608e-04
1.35000000000000e+00,3.24865703582554e-04
1.36000000000000e+00,3.29264552208575e-04
1.37000000000000e+00,3.33662811710195e-04
1.38000000000000e+00,3.38060084183506e-04
1.39000000000000e+00,3.42455972711963e-04
1.40000000000000e+00,3.46850080821210e-04
1.41000000000000e+00,3.51242011917074e-04
1.42000000000000e+00,3.55631368705951e-04
1.43000000000000e+00,3.60017752596920e-04
1.44000000000000e+00,3.64400763085064e-04
1.45000000000000e+00,3.68779997115645e-04
1.46000000000000e+00,3.73155048429038e-04
1.47000000000000e+00,3.77525506886586e-04
1.48000000000000e+00,3.81890957777895e-04
1.49000000000000e+00,3.86250981110496e-04
1.50000000000000e+00,3.90605150883325e-04
1.51000000000000e+00,3.94953034346010e-04
1.52000000000000e+00,3.99294191246693e-04
1.53000000000000e+00,4.03628173071897e-04
1.54000000000000e+00,4.07954522282829e-04
1.55000000000000e+00,4.12272771553618e-04
1.56000000000000e+00,4.16582443018118e-04
1.57000000000000e+00,4.20883047533216e-04
1.58000000000000e+00,4.25174083968051e-04
1.59000000000000e+00,4.29455038530089e-04
1.60000000000000e+00,4.33725384140665e-04
1.61000000000000e+00,4.37984579874364e-04
1.62000000000000e+00,4.42232070478386e-04
1.63000000000000e+00,4.46467285989795e-04
1.64000000000000e+00,4.50689641470289e-04
1.65000000000000e+00,4.54898536879615e-04
1.66000000000000e+00,4.59093357110019e-04
1.67000000000000e+00,4.63273472205055e-04
1.68000000000000e+00,4.67438237786376e-04
1.69000000000000e+00,4.71586995711888e-04
1.70000000000000e+00,4.75719074987569e-04
1.71000000000000e+00,4.79833792953177e-04
1.72000000000000e+00,4.83930456759032e-04
1.73000000000000e+00,4.88008365146742e-04
1.74000000000000e+00,4.92066810541305e-04
1.75000000000000e+00,4.96105081455302e-04
1.76000000000000e+00,5.00122465198132e-04
1.77000000000000e+00,5.04118250874449e-04
1.78000000000000e+00,5.08091732646568e-04
1.79000000000000e+00,5.12042213225844e-04
