AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Mon Aug 30 23:19:11 2021
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vdrain,i(vcur)
1.25000000000000e+00,1.39426513742826e-05
1.26000000000000e+00,1.39470764668200e-05
1.27000000000000e+00,1.39514901585420e-05
1.28000000000000e+00,1.39558925592236e-05
1.29000000000000e+00,1.39602837773504e-05
1.30000000000000e+00,1.39646639202598e-05
1.31000000000000e+00,1.39690330942770e-05
1.32000000000000e+00,1.39733914048453e-05
1.33000000000000e+00,1.39777389566510e-05
1.34000000000000e+00,1.39820758537435e-05
1.35000000000000e+00,1.39864021996507e-05
1.36000000000000e+00,1.39907180974885e-05
1.37000000000000e+00,1.39950236500677e-05
1.38000000000000e+00,1.39993189599949e-05
1.39000000000000e+00,1.40036041297704e-05
1.40000000000000e+00,1.40078792618812e-05
1.41000000000000e+00,1.40121444588911e-05
1.42000000000000e+00,1.40163998235260e-05
1.43000000000000e+00,1.40206454587564e-05
1.44000000000000e+00,1.40248814678765e-05
1.45000000000000e+00,1.40291079545792e-05
1.46000000000000e+00,1.40333250230284e-05
1.47000000000000e+00,1.40375327779287e-05
1.48000000000000e+00,1.40417313245912e-05
1.49000000000000e+00,1.40459207689964e-05
1.50000000000000e+00,1.40501012178557e-05
1.51000000000000e+00,1.40542727786688e-05
1.52000000000000e+00,1.40584355597785e-05
1.53000000000000e+00,1.40625896704251e-05
1.54000000000000e+00,1.40667352207954e-05
1.55000000000000e+00,1.40708723220721e-05
1.56000000000000e+00,1.40750010864798e-05
1.57000000000000e+00,1.40791216273289e-05
1.58000000000000e+00,1.40832340590585e-05
1.59000000000000e+00,1.40873384972764e-05
1.60000000000000e+00,1.40914350587981e-05
1.61000000000000e+00,1.40955238616842e-05
1.62000000000000e+00,1.40996050252755e-05
1.63000000000000e+00,1.41036786702279e-05
1.64000000000000e+00,1.41077449185451e-05
1.65000000000000e+00,1.41118038936106e-05
1.66000000000000e+00,1.41158557202179e-05
1.67000000000000e+00,1.41199005246011e-05
1.68000000000000e+00,1.41239384344629e-05
1.69000000000000e+00,1.41279695790030e-05
1.70000000000000e+00,1.41319940889458e-05
1.71000000000000e+00,1.41360120965666e-05
1.72000000000000e+00,1.41400237357185e-05
1.73000000000000e+00,1.41440291418581e-05
1.74000000000000e+00,1.41480284520712e-05
1.75000000000000e+00,1.41520218050985e-05
1.76000000000000e+00,1.41560093413609e-05
1.77000000000000e+00,1.41599912029851e-05
1.78000000000000e+00,1.41639675338293e-05
1.79000000000000e+00,1.41679384795089e-05
