AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Wed Sep  1 18:35:53 2021
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vgaini,i(vcur),v(a)
1.30000000000000e+00,1.03089783412213e-03,7.16523006767287e+00
1.31000000000000e+00,1.04135536570662e-03,7.11627042276575e+00
1.32000000000000e+00,1.05179987471115e-03,7.06745817516217e+00
1.33000000000000e+00,1.06223132062521e-03,7.01878929574938e+00
1.34000000000000e+00,1.07264966320761e-03,6.97025980525933e+00
1.35000000000000e+00,1.08305486241899e-03,6.92186577293673e+00
1.36000000000000e+00,1.09344687835638e-03,6.87360331532073e+00
1.37000000000000e+00,1.10382567118978e-03,6.82546859513646e+00
1.38000000000000e+00,1.11419120110061e-03,6.77745782029278e+00
1.39000000000000e+00,1.12454342822179e-03,6.72956724298348e+00
1.40000000000000e+00,1.13488231257946e-03,6.68179315888890e+00
1.41000000000000e+00,1.14520781403607e-03,6.63413190647593e+00
1.42000000000000e+00,1.15551989223485e-03,6.58657986639402e+00
1.43000000000000e+00,1.16581850654542e-03,6.53913346096580e+00
1.44000000000000e+00,1.17610361601055e-03,6.49178915377051e+00
1.45000000000000e+00,1.18637517929380e-03,6.44454344931945e+00
1.46000000000000e+00,1.19663315462818e-03,6.39739289282213e+00
1.47000000000000e+00,1.20687749976543e-03,6.35033407004286e+00
1.48000000000000e+00,1.21710817192612e-03,6.30336360724703e+00
1.49000000000000e+00,1.22732512775026e-03,6.25647817123708e+00
1.50000000000000e+00,1.23752832324843e-03,6.20967446947811e+00
1.51000000000000e+00,1.24771771375338e-03,6.16294925031326e+00
1.52000000000000e+00,1.25789325387189e-03,6.11629930326941e+00
1.53000000000000e+00,1.26805489743697e-03,6.06972145945375e+00
1.54000000000000e+00,1.27820259746018e-03,6.02321259204183e+00
1.55000000000000e+00,1.28833630608411e-03,5.97676961685822e+00
1.56000000000000e+00,1.29845597453485e-03,5.93038949305078e+00
1.57000000000000e+00,1.30856155307451e-03,5.88406922385975e+00
1.58000000000000e+00,1.31865299095355e-03,5.83780585748301e+00
1.59000000000000e+00,1.32873023636302e-03,5.79159648803909e+00
1.60000000000000e+00,1.33879323638656e-03,5.74543825662958e+00
1.61000000000000e+00,1.34884193695206e-03,5.69932835250247e+00
1.62000000000000e+00,1.35887628278306e-03,5.65326401431860e+00
1.63000000000000e+00,1.36889621734968e-03,5.60724253152290e+00
1.64000000000000e+00,1.37890168281913e-03,5.56126124582258e+00
1.65000000000000e+00,1.38889262000566e-03,5.51531755277449e+00
1.66000000000000e+00,1.39886896831995e-03,5.46940890348365e+00
1.67000000000000e+00,1.40883066571791e-03,5.42353280641538e+00
1.68000000000000e+00,1.41877764864876e-03,5.37768682932337e+00
1.69000000000000e+00,1.42870985200235e-03,5.33186860129591e+00
1.70000000000000e+00,1.43862720905582e-03,5.28607581492285e+00
1.71000000000000e+00,1.44852965141928e-03,5.24030622858564e+00
1.72000000000000e+00,1.45841710898071e-03,5.19455766887286e+00
1.73000000000000e+00,1.46828950984993e-03,5.14882803312369e+00
1.74000000000000e+00,1.47814678030154e-03,5.10311529210181e+00
1.75000000000000e+00,1.48798884471696e-03,5.05741749280181e+00
1.76000000000000e+00,1.49781562552524e-03,5.01173276139088e+00
1.77000000000000e+00,1.50762704314301e-03,4.96605930628750e+00
1.78000000000000e+00,1.51742301591306e-03,4.92039542137962e+00
1.79000000000000e+00,1.52720346004191e-03,4.87473948938416e+00
