vgs,id
0.509043,5.8122e-06
0.509039,5.81155e-06
0.509035,5.81091e-06
0.50903,5.81032e-06
0.509026,5.80968e-06
0.509022,5.80903e-06
0.509018,5.80841e-06
0.509013,5.80778e-06
0.509009,5.80714e-06
0.509005,5.80654e-06
0.509001,5.80587e-06
0.508996,5.80526e-06
0.508992,5.80462e-06
0.508988,5.804e-06
0.508984,5.80335e-06
0.508979,5.80274e-06
0.508975,5.8021e-06
0.508971,5.80148e-06
0.508966,5.80085e-06
0.508962,5.80023e-06
0.508958,5.79959e-06
0.508954,5.79896e-06
0.508949,5.79833e-06
0.508945,5.79771e-06
0.508941,5.79707e-06
0.508937,5.79645e-06
0.508932,5.79581e-06
0.508928,5.7952e-06
0.508924,5.79456e-06
0.50892,5.79392e-06
0.508915,5.79331e-06
0.508911,5.79268e-06
0.508907,5.79207e-06
0.508903,5.79142e-06
0.508898,5.79079e-06
0.508894,5.79015e-06
0.50889,5.78952e-06
0.508886,5.78891e-06
0.508881,5.78828e-06
0.508877,5.78766e-06
0.508873,5.78701e-06
0.508868,5.7864e-06
0.508864,5.78579e-06
0.50886,5.78517e-06
0.508856,5.78453e-06
0.508851,5.78391e-06
0.508847,5.78328e-06
0.508843,5.78263e-06
0.508839,5.78203e-06
0.508834,5.78141e-06
0.50883,5.78077e-06
0.508826,5.78014e-06
0.508822,5.7795e-06
0.508817,5.77889e-06
0.508813,5.77827e-06
0.508809,5.77764e-06
0.508805,5.777e-06
0.5088,5.77638e-06
0.508796,5.77577e-06
0.508792,5.77515e-06
0.508788,5.77453e-06
0.508784,5.7739e-06
0.508779,5.77328e-06
0.508775,5.77267e-06
0.508771,5.77205e-06
0.508767,5.77139e-06
0.508762,5.77077e-06
0.508758,5.77015e-06
0.508754,5.76955e-06
0.50875,5.7689e-06
0.508745,5.76829e-06
0.508741,5.76767e-06
0.508737,5.76704e-06
0.508733,5.76644e-06
0.508728,5.7658e-06
0.508724,5.76516e-06
0.50872,5.76455e-06
0.508716,5.76393e-06
0.508711,5.7633e-06
0.508707,5.7627e-06
0.508703,5.76206e-06
0.508699,5.76143e-06
0.508694,5.76081e-06
0.50869,5.76019e-06
0.508686,5.75958e-06
0.508682,5.75898e-06
0.508678,5.75834e-06
0.508673,5.75772e-06
0.508669,5.7571e-06
0.508665,5.75648e-06
0.508661,5.75585e-06
0.508656,5.75526e-06
0.508652,5.75462e-06
0.508648,5.754e-06
0.508644,5.7534e-06
0.508639,5.75276e-06
0.508635,5.75214e-06
0.508631,5.75152e-06
0.508627,5.75091e-06
0.508623,5.75028e-06
0.508618,5.74966e-06
0.508614,5.74905e-06
0.50861,5.74844e-06
0.508606,5.74781e-06
0.508601,5.7472e-06
0.508597,5.74657e-06
0.508593,5.74595e-06
0.508589,5.74533e-06
0.508585,5.74473e-06
0.50858,5.74411e-06
0.508576,5.74348e-06
0.508572,5.74286e-06
