t_s,GR07_c,GR06_c
75.456,16.102,
75.609,16.12,
75.649,,17.035
75.762,16.087,
75.788,,16.994
75.915,16.163,
75.927,,16.848
76.066,,16.816
76.068,16.108,
76.205,,16.926
76.221,16.099,
76.344,,17.114
76.374,16.072,
76.483,,17.021
76.527,16.135,
76.622,,16.938
76.68,16.046,
76.761,,16.92
76.833,16.056,
76.9,,16.874
76.986,16.076,
77.039,,16.98
77.139,16.142,
77.178,,16.914
77.292,16.175,
77.317,,16.872
77.445,16.066,
77.456,,17.065
77.595,,17.167
77.598,16.122,
77.734,,17.171
77.751,16.211,
77.873,,17.046
77.904,16.277,
78.012,,16.92
78.057,16.162,
78.151,,16.89
78.21,16.171,
78.29,,16.977
78.363,16.2,
78.429,,16.988
78.516,16.256,
78.568,,17.014
78.669,16.128,
78.707,,17.048
78.822,16.096,
78.846,,16.966
78.975,16.131,
78.985,,17.054
79.124,,17.063
79.128,16.104,
79.281,16.175,
80.964,16.422,
81.117,16.352,
81.153,,17.184
81.27,16.369,
81.292,,17.073
81.423,16.294,
81.431,,17.091
81.57,,17.114
81.576,16.279,
81.709,,17.209
81.729,16.324,
81.848,,17.153
81.882,16.243,
81.987,,17.121
82.035,16.224,
82.126,,17.211
82.188,16.306,
82.265,,17.086
82.341,16.35,
82.404,,17.094
82.494,16.287,
82.543,,17.099
82.647,16.34,
82.682,,17.13
82.8,16.286,
82.821,,17.313
82.953,16.301,
82.96,,17.162
83.099,,17.131
83.106,16.334,
83.238,,17.176
83.259,16.326,
83.377,,17.195
83.412,16.274,
83.516,,17.284
83.565,16.286,
83.655,,17.338
83.718,16.325,
83.794,,17.313
83.871,16.383,
83.933,,17.207
84.024,16.301,
84.072,,17.162
84.177,16.482,
84.211,,17.137
84.33,16.316,
84.35,,17.127
84.483,16.431,
84.489,,17.241
84.628,,17.26
84.636,16.303,
84.789,16.402,
86.261,16.466,
86.414,16.41,
86.446,,17.306
86.567,16.503,
86.585,,17.319
86.72,16.398,
86.724,,17.348
86.863,,17.229
86.873,16.381,
87.002,,17.214
87.026,16.515,
87.141,,17.321
87.179,16.586,
87.28,,17.309
87.332,16.515,
87.419,,17.304
87.485,16.525,
87.558,,17.346
87.638,16.437,
87.697,,17.274
87.791,16.502,
87.836,,17.359
87.944,16.595,
87.975,,17.371
88.097,16.472,
88.114,,17.365
88.25,16.643,
88.253,,17.326
88.392,,17.451
88.403,16.562,
88.531,,17.468
88.556,16.566,
88.67,,17.479
88.709,16.597,
88.809,,17.418
88.862,16.541,
88.948,,17.243
89.015,16.628,
89.087,,17.205
89.168,16.694,
89.226,,17.217
89.321,16.717,
89.365,,17.362
89.474,16.581,
89.504,,17.347
89.627,16.458,
89.643,,17.385
89.78,16.579,
89.782,,17.411
89.921,,17.594
89.933,16.601,
90.086,16.454,
91.772,20.032,
91.925,20.294,
91.953,,21.69
92.078,20.592,
92.092,,21.889
92.231,21.035,22.122
92.37,,22.239
92.384,21.43,
92.509,,22.23
92.537,21.689,
92.648,,22.431
92.69,21.975,
92.787,,22.661
92.843,22.262,
92.926,,22.788
92.996,22.284,
93.065,,22.736
93.149,22.699,
93.204,,22.82
93.302,22.712,
93.343,,22.892
93.455,22.629,
93.482,,23.009
93.608,22.76,
93.621,,23.076
93.76,,23.013
93.761,22.746,
93.899,,23.026
93.914,23.063,
94.038,,23.13
94.067,22.966,
94.177,,23.104
94.22,23.066,
94.316,,23.121
94.373,23.149,
94.455,,23.182
94.526,23.301,
94.594,,23.132
94.679,23.28,
94.733,,23.199
94.832,23.24,
94.872,,23.252
94.985,23.192,
95.011,,23.287
95.138,23.26,
95.15,,23.178
95.289,,23.232
95.291,23.293,
95.428,,23.375
95.444,23.371,
95.597,23.279,
96.976,23.348,
97.129,23.216,
97.153,,23.313
97.282,23.471,
97.292,,23.237
97.431,,23.289
97.435,23.322,
97.57,,23.339
97.588,23.425,
97.709,,23.335
97.741,23.463,
97.848,,23.23
97.894,23.412,
97.987,,23.373
98.047,23.262,
98.126,,23.407
98.2,23.266,
98.265,,23.391
98.353,23.332,
98.404,,23.447
98.506,23.417,
98.543,,23.346
98.659,23.378,
98.682,,23.322
98.812,23.304,
98.821,,23.333
98.96,,23.35
98.965,23.325,
99.099,,23.403
99.118,23.422,
99.238,,23.338
99.271,23.403,
99.377,,23.281
99.424,23.48,
99.516,,23.312
99.577,23.456,
99.655,,23.265
99.73,23.391,
99.794,,23.221
99.883,23.457,
99.933,,23.238
100.036,23.429,
100.072,,23.378
100.189,23.383,
100.211,,23.378
100.342,23.44,
100.35,,23.357
100.489,,23.503
100.495,23.43,
100.628,,23.4
100.648,23.378,
100.767,,23.376
100.801,23.435,
100.954,23.33,
102.636,23.52,
102.789,23.511,
102.795,,23.371
102.934,,23.407
102.942,23.56,
103.073,,23.495
103.095,23.569,
103.212,,23.42
103.248,23.616,
103.351,,23.362
103.401,23.654,
103.49,,23.395
103.554,23.576,
103.629,,23.375
103.707,23.574,
103.768,,23.372
103.86,23.572,
103.907,,23.603
104.013,23.642,
104.046,,23.506
104.166,23.455,
104.185,,23.318
104.319,23.403,
104.324,,23.382
104.463,,23.403
104.472,23.455,
104.602,,23.448
104.625,23.483,
104.741,,23.357
104.778,23.428,
104.88,,23.488
104.931,23.47,
105.019,,23.434
105.084,23.435,
105.158,,23.27
105.237,23.488,
105.297,,23.327
105.39,23.402,
105.436,,23.378
105.543,23.525,
105.575,,23.397
105.696,23.43,
105.714,,23.344
105.849,23.431,
105.853,,23.26
105.992,,23.353
106.002,23.358,
106.131,,23.398
106.155,23.481,
106.27,,23.327
106.308,23.445,
106.409,,23.213
106.461,23.513,
107.865,23.382,
108.018,23.422,
108.159,,23.263
108.171,23.359,
108.298,,23.263
108.324,23.458,
108.437,,23.326
108.477,23.357,
108.576,,23.313
108.63,23.47,
108.715,,23.38
108.783,23.515,
108.854,,23.299
108.936,23.359,
108.993,,23.29
109.089,23.542,
109.132,,23.237
109.242,23.394,
109.271,,23.33
109.395,23.427,
109.41,,23.345
109.548,23.443,
109.549,,23.317
109.688,,23.328
109.701,23.412,
109.827,,23.251
109.854,23.492,
109.966,,23.226
110.007,23.476,
110.105,,23.28
110.16,23.514,
110.244,,23.33
110.313,23.594,
110.383,,23.35
110.466,23.609,
110.522,,23.196
110.619,23.601,
110.661,,23.378
110.772,23.514,
110.8,,23.407
110.925,23.587,
110.939,,23.371
111.078,23.632,23.44
111.217,,23.468
111.231,23.582,
111.356,,23.356
111.384,23.617,
111.495,,23.431
111.537,23.695,
111.634,,23.43
111.69,23.693,
111.843,23.645,
113.315,23.665,
113.452,,23.457
113.468,23.591,
113.591,,23.422
113.621,23.584,
113.73,,23.438
113.774,23.618,
113.869,,23.289
113.927,23.672,
114.008,,23.179
114.08,23.521,
114.147,,23.363
114.233,23.511,
114.286,,23.363
114.386,23.554,
114.425,,23.385
114.539,23.449,
114.564,,23.388
114.692,23.398,
114.703,,23.312
114.842,,23.392
114.845,23.471,
114.981,,23.469
114.998,23.554,
115.12,,23.405
115.151,23.418,
115.259,,23.306
115.304,23.436,
115.398,,23.442
115.457,23.424,
