AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Mon Oct  4 09:44:04 2021
Circuit: * Gate Voltage sweep
Analysis: Transient Analysis
Time,v(ck),v(d),v(q),v(qn)
4.81080000000000e-10,0.00000000000000e+00,1.50000000000000e+00,4.27693483313180e-03,1.51425412839892e+00
4.81240000000000e-10,0.00000000000000e+00,1.50000000000000e+00,2.76082348163403e-03,1.51175648745110e+00
4.81560000000000e-10,0.00000000000000e+00,1.50000000000000e+00,4.12143584505975e-04,1.50736584095667e+00
4.82200000000000e-10,0.00000000000000e+00,1.50000000000000e+00,-2.94998961326415e-03,1.49940429254659e+00
4.83480000000000e-10,0.00000000000000e+00,1.50000000000000e+00,-4.60520489131916e-03,1.48836972410903e+00
4.86040000000000e-10,0.00000000000000e+00,1.50000000000000e+00,-1.95998335193726e-03,1.48180177329714e+00
4.91160000000000e-10,0.00000000000000e+00,1.50000000000000e+00,1.01515648513503e-03,1.48514213756670e+00
4.96759659780552e-10,0.00000000000000e+00,1.50000000000000e+00,5.67299962929646e-04,1.49035100750535e+00
5.00000000000000e-10,0.00000000000000e+00,1.50000000000000e+00,6.76544399563661e-04,1.49345899428767e+00
5.00100000000000e-10,1.50000000000046e-01,1.50000000000000e+00,1.71257145495857e-03,1.49640119991885e+00
5.00300000000000e-10,4.49999999999983e-01,1.50000000000000e+00,3.71915574490922e-03,1.50215947289240e+00
5.00700000000000e-10,1.05000000000001e+00,1.50000000000000e+00,6.97324563875390e-03,1.51271544175483e+00
5.01000000000000e-10,1.49999999999999e+00,1.50000000000000e+00,7.54154425312914e-03,1.51713453637470e+00
5.01080000000000e-10,1.50000000000000e+00,1.50000000000000e+00,6.95845783996879e-03,1.51659695664681e+00
5.01240000000000e-10,1.50000000000000e+00,1.50000000000000e+00,5.90708510732485e-03,1.51565787868717e+00
5.01560000000000e-10,1.50000000000000e+00,1.50000000000000e+00,4.19381792899076e-03,1.51401739084374e+00
5.02200000000000e-10,1.50000000000000e+00,1.50000000000000e+00,1.78090822483445e-03,1.51111405302620e+00
5.03480000000000e-10,1.50000000000000e+00,1.50000000000000e+00,-2.30443587297785e-03,1.50147586631269e+00
5.06040000000000e-10,1.50000000000000e+00,1.50000000000000e+00,-5.90671388592043e-03,1.47622956755317e+00
5.11160000000000e-10,1.50000000000000e+00,1.50000000000000e+00,-3.27976339950176e-03,1.44503515526162e+00
5.16450258955154e-10,1.50000000000000e+00,1.50000000000000e+00,-8.05259947453590e-04,1.43351985202255e+00
5.27030776865462e-10,1.50000000000000e+00,1.50000000000000e+00,2.49671667082156e-03,1.44623257961619e+00
5.48191812686077e-10,1.50000000000000e+00,1.50000000000000e+00,9.73406583892082e-03,9.25076082900378e-01
5.69488876598136e-10,1.50000000000000e+00,1.50000000000000e+00,7.42558585435779e-01,1.73386102477969e-01
5.96880848025454e-10,1.50000000000000e+00,1.50000000000000e+00,1.49925954237544e+00,-2.32440715701610e-02
6.25829340323339e-10,1.50000000000000e+00,1.50000000000000e+00,1.47317897704262e+00,1.23314331238762e-02
6.61003040041780e-10,1.50000000000000e+00,1.50000000000000e+00,1.52686285285838e+00,-3.71756685794607e-03
7.06680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.47547047308941e+00,8.67420975718582e-04
7.56680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.52069915757168e+00,1.56679905264354e-03
8.06680335423532e-10,1.50000000000000e+00,1.50000000000000e+00,1.48223454145886e+00,-2.28596962767826e-03
