paper	lecture	line	section	text	url	existing_key
ieee:9731654	l04_mac.md	289	Want to learn more?	ARCHON: A 332.7TOPS/W 5b Variation-Tolerant Analog CNN Processor Featuring Analog Neuronal Computation Unit and Analog Memory	https://ieeexplore.ieee.org/document/9731654	
ieee:10129929	l04_mac.md	291	Want to learn more?	IMPACT: A 1-to-4b 813-TOPS/W 22-nm FD-SOI Compute-in-Memory CNN Accelerator Featuring a 4.2-POPS/W 146-TOPS/mm2 CIM-SRAM With Multi-Bit Analog Batch-Normalization	https://ieeexplore.ieee.org/document/10129929	
ieee:1052843	l05_sc.md	313	An example SC circuit	A pipelined 5-Msample/s 9-bit analog-to-digital converter	https://ieeexplore.ieee.org/document/1052843	Lewis87
ieee:4749297	l05_sc.md	593	Aliasing, bandwidth and sample rate theory	Blind Multiband Signal Reconstruction: Compressed Sensing for Analog Signal	https://ieeexplore.ieee.org/document/4749297	
ieee:4749297	l05_sc.md	1214	Want to learn more?	Blind Multiband Signal Reconstruction: Compressed Sensing for Analog Signal	https://ieeexplore.ieee.org/document/4749297	
https://link.springer.com/article/10.1007/s10470-010-9576-3	l05_sc.md	1079	OTA	comparator based SC circuits	https://link.springer.com/article/10.1007/s10470-010-9576-3	
https://link.springer.com/article/10.1007/s10470-010-9576-3	l05_sc.md	1216	Want to learn more?	Comparator-based switched-capacitor pipelined analog-to-digital converter with comparator preset, and comparator delay compensation	https://link.springer.com/article/10.1007/s10470-010-9576-3	
ieee:5437496	l05_sc.md	1220	Want to learn more?	A 10-bit 50-MS/s SAR ADC With a Monotonic Capacitor Switching Procedure	https://ieeexplore.ieee.org/document/5437496	liu10
ieee:4768910	l05_sc.md	1222	Want to learn more?	Low Voltage, Low Power, Inverter-Based Switched-Capacitor Delta-Sigma Modulator	https://ieeexplore.ieee.org/document/4768910	
ieee:6373760	l05_sc.md	1224	Want to learn more?	Ring Amplifiers for Switched Capacitor Circuits	https://ieeexplore.ieee.org/document/6373760	
ieee:6009207	l05_sc.md	1226	Want to learn more?	A Switched-Capacitor RF Power Amplifier	https://ieeexplore.ieee.org/document/6009207	
ieee:6650076	l05_sc.md	1228	Want to learn more?	Design of Active N-Path Filters	https://ieeexplore.ieee.org/document/6650076	
ieee:761034	l06_adc.md	53	ADC state-of-the-art	1999, R. Walden: Analog-to-digital converter survey and analysis	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=761034	
ieee:1164729	l06_adc.md	390	Quantization	The intermodulation and distortion due to quantization of sinusoids	https://ieeexplore.ieee.org/document/1164729	
ieee:4783042	l06_adc.md	1151	Open-Loop Sigma-Delta	Resonators in Open-Loop Sigma-Delta Modulators	https://ieeexplore.ieee.org/document/4783042	
ieee:9056925	l06_adc.md	1176	Noise Shaped SAR	A 68 dB SNDR Compiled Noise-Shaping SAR ADC With On-Chip CDAC Calibration	https://ieeexplore.ieee.org/document/9056925/	garvik19
ieee:9056925	l10_lpradio.md	915	ADC	A 68 dB SNDR Compiled Noise-Shaping SAR ADC With On-Chip CDAC Calibration	https://ieeexplore.ieee.org/document/9056925	garvik19
ieee:9056925	l10_lpradio.md	1069	Want to learn more?	A 68 dB SNDR Compiled Noise-Shaping SAR ADC With On-Chip CDAC Calibration	https://ieeexplore.ieee.org/document/9056925	garvik19
ieee:9056925	lp_radio_guest.md	543	ADC	A 68 dB SNDR Compiled Noise-Shaping SAR ADC With On-Chip CDAC Calibration	https://ieeexplore.ieee.org/document/9056925	garvik19
ieee:9056925	lp_radio_guest.md	619	Want to learn more?	A 68 dB SNDR Compiled Noise-Shaping SAR ADC With On-Chip CDAC Calibration	https://ieeexplore.ieee.org/document/9056925	garvik19
ieee:90025	l06_adc.md	1279	Want to learn more?	The design of sigma-delta modulation analog-to-digital converters	https://ieeexplore.ieee.org/document/90025	
ieee:229400	l06_adc.md	1281	Want to learn more?	Delta-sigma modulation in fractional-N frequency synthesis	https://ieeexplore.ieee.org/document/229400	
ieee:6323049	l06_adc.md	1283	Want to learn more?	A CMOS Temperature Sensor With a Voltage-Calibrated Inaccuracy of ± 0.15 C (3sigma) From -55 Cto 125 C	https://ieeexplore.ieee.org/document/6323049	
ieee:4014623	l06_adc.md	1285	Want to learn more?	A 20-mW 640-MHz CMOS Continuous-Time Sigma-Delta ADC With 20-MHz Signal Bandwidth, 80-dB Dynamic Range and 12-bit ENOB	https://ieeexplore.ieee.org/document/4014623	
ieee:7078971	l06_adc.md	1287	Want to learn more?	A Micro-Power Two-Step Incremental Analog-to-Digital Converter	https://ieeexplore.ieee.org/document/7078971	
ieee:5247174	l07_vreg.md	92	Voltage source	Analog Circuit Design in Nanoscale CMOS Technologies	https://ieeexplore.ieee.org/document/5247174	lewyn09
ieee:6193402	l07_vreg.md	110	Why transistors die	Metal-Oxide RRAM	https://ieeexplore.ieee.org/document/6193402	
ieee:4419069	l07_vreg.md	133	Why transistors die	Simultaneous Extraction of Recoverable and Permanent Components Contributing to Bias-Temperature Instability	https://ieeexplore.ieee.org/document/4419069	
ieee:8187654	l07_vreg.md	430	Principles of switched regulators	A 10-MHz 2–800-mA 0.5–1.5-V 90% Peak Efficiency Time-Based Buck Converter With Seamless Transition Between PWM/PFM Modes	https://ieeexplore.ieee.org/document/8187654	
ieee:8187654	l07_vreg.md	743	DC-DC converters	A 10-MHz 2–800-mA 0.5–1.5-V 90% Peak Efficiency Time-Based Buck Converter With Seamless Transition Between PWM/PFM Modes	https://ieeexplore.ieee.org/document/8187654	
ieee:9639005	l07_vreg.md	722	Linear regulators	A Scalable High-Current High-Accuracy Dual-Loop Four-Phase Switching LDO for Microprocessors	https://ieeexplore.ieee.org/document/9639005	
ieee:4436075	l07_vreg.md	724	Linear regulators	Development of Single-Transistor-Control LDO Based on Flipped Voltage Follower for SoC	https://ieeexplore.ieee.org/document/4436075	
ieee:7740906	l07_vreg.md	726	Linear regulators	A 200-mA Digital Low Drop-Out Regulator With Coarse-Fine Dual Loop in Mobile Application Processor	https://ieeexplore.ieee.org/document/7740906	
ieee:5948387	l07_vreg.md	731	DC-DC converters	Design Techniques for Fully Integrated Switched-Capacitor DC-DC Converters	https://ieeexplore.ieee.org/document/5948387	
ieee:6998097	l07_vreg.md	735	DC-DC converters	High Frequency Buck Converter Design Using Time-Based Control Techniques	https://ieeexplore.ieee.org/document/6998097	
ieee:4804971	l07_vreg.md	739	DC-DC converters	Single-Inductor Multi-Output (SIMO) DC-DC Converters With High Light-Load Efficiency and Minimized Cross-Regulation for Portable Devices	https://ieeexplore.ieee.org/document/4804971	
ieee:1261283	l07_vreg.md	746	DC-DC converters	A monolithic current-mode CMOS DC-DC converter with on-chip current-sensing technique	https://ieeexplore.ieee.org/document/1261283	
https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2778127	l08_pll.md	646	Want to learn more?	Ultra Low Power Frequency Synthesizer	https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2778127	
ieee:5342373	l08_pll.md	649	Want to learn more?	A Low Noise Sub-Sampling PLL in Which Divider Noise is Eliminated and PD/CP Noise is Not Multiplied by N2	https://ieeexplore.ieee.org/document/5342373	
ieee:1546223	l08_pll.md	652	Want to learn more?	All-digital PLL and transmitter for mobile phones	https://ieeexplore.ieee.org/document/1546223	
